"Occupation","Most_Frequent_Education_Level","Most_Frequent_Valencies","Most_Frequent_Index","Second_Most_Frequent_Education_Level","Second_Most_Frequent_Valencies","Second_Most_Frequent_Index"
"Total, all occupations","No minimum level of education required","1454925","1","High school diploma or equivalent","1206710","2"
"Management occupations [0]","Bachelor's degree","74190","5","Non-university certificate or diploma","41250","3"
"Business, finance and administration occupations [1]","High school diploma or equivalent","143955","2","Non-university certificate or diploma","140430","3"
"Natural and applied sciences and related occupations [2]","Bachelor's degree","125640","5","Non-university certificate or diploma","105055","3"
"Health occupations [3]","Non-university certificate or diploma","151750","3","Bachelor's degree","46740","5"
"Occupations in education, law and social, community and government services [4]","Non-university certificate or diploma","98180","3","Bachelor's degree","49680","5"
"Occupations in art, culture, recreation and sport [5]","No minimum level of education required","27115","1","Non-university certificate or diploma","24005","3"
"Sales and service occupations [6]","No minimum level of education required","747705","1","High school diploma or equivalent","521035","2"
"Trades, transport and equipment operators and related occupations [7]","No minimum level of education required","319445","1","High school diploma or equivalent","248460","2"
"Natural resources, agriculture and related production occupations [8]","No minimum level of education required","112430","1","High school diploma or equivalent","42400","2"
"Occupations in manufacturing and utilities [9]","No minimum level of education required","112840","1","High school diploma or equivalent","93920","2"
"Unclassified occupations","No minimum level of education required","0","1","High school diploma or equivalent","0","2"
